source_file,run_set,workload,input_len,output_len,concurrency,row_type,completed,duration_s,request_throughput_req_s,input_throughput_tok_s,output_throughput_tok_s,total_throughput_tok_s,mean_e2e_latency_ms,p90_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,max_output_tokens_per_s,max_concurrent_requests,tp_size,dp_size,ep_size,enable_nccl_nvls,moe_a2a_backend,enable_dp_attention,status
tp4_nvl_env_only_4k_500_c32.json,tp4_nvl_env_only,4k_500,4096,500,32,matrix,100,19.774519449001673,5.057012902786295,10583.367173080187,1261.522438729069,11844.889611809256,5512.320167000216,9765.57165140075,11735.827780007641,358.85043196027254,748.3356226412798,22.01735943088964,36.81674423896057,20.74162952185281,140.2640798003631,2328.0,40,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_4k_500_c4.json,tp4_nvl_env_only,4k_500,4096,500,4,matrix,100,72.47986456500075,1.3796935273012119,2887.436410871249,344.1783473205603,3231.6147581918094,2879.5667521201904,5204.462299400257,5850.532318291516,190.21752880005806,646.3988234522913,10.890688097638238,16.834604539777512,10.824054937896769,126.09687600070166,448.0,9,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_4k_500_c64.json,tp4_nvl_env_only,4k_500,4096,500,64,matrix,100,13.106193416999304,7.629980484668847,15968.09945811981,1903.3749317054906,17871.4743898253,6422.139740009916,10042.718529899139,10957.045260089872,761.6683993300103,1242.5128920781574,24.35876373781593,36.91968586429358,22.7822070515966,137.18401699861715,3482.0,70,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_4k_500_c8.json,tp4_nvl_env_only,4k_500,4096,500,8,matrix,100,44.539184135999676,2.2452140051477283,4698.806322113218,560.0910857241523,5258.897407837369,3442.3739440702775,6184.636453900385,7152.025473712857,197.46841861033317,608.0653069182154,13.103279800195327,22.623399971938262,13.060052728043853,134.47744099976262,758.0,12,4,4,4,False,megamoe,True,success
tp4_nvl_off_128k_500_c1.json,tp4_nvl_off,128k_500,131072,500,1,matrix,100,506.3209817099996,0.19750317212269114,13405.442881463647,49.26914131772653,13454.712022781374,5062.64586780002,7583.994324800734,9273.345691478726,2925.4888813700745,5903.972418359452,8.598144828887635,8.838208547669188,8.601594376318497,8.869102748030855,120.0,3,4,4,4,False,megamoe,True,success
tp4_nvl_off_128k_500_c128.json,tp4_nvl_off,128k_500,131072,500,128,matrix,100,73.98292522200063,1.351663234454841,91743.56082343152,337.18591046710463,92080.74673389862,70148.25834085005,72980.79301050093,73812.5516190016,28609.441719410243,66283.3203823186,515.3701500959883,3118.1730588770192,167.18510927276054,184.41585920154466,5892.0,100,4,4,4,False,megamoe,True,success
tp4_nvl_off_128k_500_c16.json,tp4_nvl_off,128k_500,131072,500,16,matrix,100,148.77925156900164,0.6721367324100395,45620.99169353649,167.67122926700844,45788.6629228035,23440.632026099738,40530.054476901576,50013.37139120188,3614.113048939871,11788.172641548963,80.41848160138017,152.9220400323418,79.79760989853526,430.17457460100366,1129.0,21,4,4,4,False,megamoe,True,success
tp4_nvl_off_128k_500_c32.json,tp4_nvl_off,128k_500,131072,500,32,matrix,100,118.272286798001,0.8455066077380535,57388.39743237905,210.92007836633482,57599.317510745386,36899.19995773991,63378.23443959825,79602.19679773973,5322.927604439974,20325.8906395593,137.63616947961373,356.0849862953408,127.08793133128034,2983.827819799444,1768.0,37,4,4,4,False,megamoe,True,success
tp4_nvl_off_128k_500_c4.json,tp4_nvl_off,128k_500,131072,500,4,matrix,100,253.95472497900118,0.39377097633552094,26727.035697253657,98.23010775665905,26825.265805010316,10128.69904517007,18009.713996701248,23107.44830054912,2957.6446910998493,6321.332044620431,30.41935222754495,160.601934202241,28.86198622619279,179.0722347988776,436.0,7,4,4,4,False,megamoe,True,success
tp4_nvl_off_128k_500_c64.json,tp4_nvl_off,128k_500,131072,500,64,matrix,100,94.10471405900171,1.0626460215085725,72126.64177210511,265.08767652552854,72391.72944863065,57965.376510220376,90848.40607730039,91670.35083444306,13738.906650690442,44593.03860878117,366.4661002577775,1396.5053849590095,178.00235542582334,2963.6430175994974,3063.0,69,4,4,4,False,megamoe,True,success
tp4_nvl_off_128k_500_c8.json,tp4_nvl_off,128k_500,131072,500,8,matrix,100,198.64621759199872,0.5034075212314937,34168.569038353504,125.5800402464084,34294.14907859991,15749.61095928993,26755.945744799836,33655.89385407153,3098.4944704997542,7785.3144901093465,54.29553365849573,164.84359330353348,50.91810011937536,287.7005707989156,693.0,11,4,4,4,False,megamoe,True,success
